facilities,rating,rating_descriptions,review_counts,location,Price
['restaurant'],,,,Uberlandia,6175
"['intrnet', 'bar', 'restaurant']",7.4,Very Good,18.0,Willsmian,15000
['restaurant'],,,,Andeman,13160
"['bar', 'restaurant']",7.8,Very Good,10.0,Stokol,7560
"['intrnet', 'restaurant']",8.3,Excellent,6.0,Willsmian,25000
"['bar', 'restaurant', 'pool', 'gym']",10.0,Excellent,1.0,Hallerson,36000
"['restaurant', 'swimmingpools']",8.1,Excellent,3.0,Machlessvile,7000
"['bar', 'restaurant']",7.6,Very Good,3.0,Willsmian,5000
"['bar', 'restaurant']",6.0,Very Good,3.0,Willsmian,8000
"['intrnet', 'bar', 'restaurant']",8.1,Excellent,32.0,Wanderland,92000
"['internet', 'restaurant']",8.0,Excellent,7.0,Machlessvile,44000
[],9.2,Excellent,1.0,Machlessvile,7800
"['intrnet', 'bar', 'restaurant']",6.9,Very Good,33.0,Stokol,13975
"['bar', 'restaurant', 'swimmingpools', 'gym']",7.0,Very Good,17.0,Hallerson,16200
['internet'],7.7,Very Good,18.0,Wanderland,20000
"['bar', 'restaurant', 'swimmingpools', 'gym']",9.3,Excellent,3.0,Uberlandia,88600
"['internet', 'restaurant', 'pool']",5.9,Good,3.0,Hallerson,6500
['restaurant'],6.0,Very Good,79.0,Uberlandia,5500
"['internet', 'bar', 'restaurant', 'gym']",,,,Hallerson,10000
"['restaurant', 'pool']",,,,Hallerson,80500
"['bar', 'restaurant']",,,,Wanderland,4000
[],6.0,Very Good,43.0,Wanderland,15000
"['intrnet', 'bar', 'restaurant']",,,,Hallerson,6000
"['internet', 'bar', 'restaurant']",4.4,Good,1.0,Machlessvile,6700
['restaurant'],,,,Andeman,5405
[],3.6,Fair,1.0,Stokol,2200
"['intrnet', 'bar', 'restaurant']",6.8,Very Good,8.0,Wanderland,20000
"['bar', 'restaurant']",6.4,Very Good,1.0,Andeman,3500
"['restaurant', 'gym']",5.6,Good,1.0,Uberlandia,15500
"['internet', 'bar']",7.2,Very Good,25.0,Wanderland,15000
"['internet', 'bar', 'restaurant', 'gym']",8.3,Excellent,18.0,Uberlandia,20000
"['internet', 'bar', 'restaurant']",7.0,Very Good,23.0,Wanderland,20000
"['bar', 'restaurant']",7.6,Very Good,2.0,Willsmian,10000
[],,,,Uberlandia,6000
"['intrnet', 'pool', 'gym']",7.6,Very Good,2.0,Stokol,27000
"['intrnet', 'bar', 'restaurant', 'swimmingpools']",5.8,Good,6.0,Hallerson,25000
"['bar', 'restaurant', 'swimmingpools', 'gym']",3.7,Fair,2.0,Uberlandia,45000
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",,,,Willsmian,100000
"['bar', 'restaurant']",7.2,Very Good,9.0,Uberlandia,15650
"['bar', 'restaurant']",6.6,Very Good,7.0,Machlessvile,10000
"['internet', 'bar', 'restaurant']",6.8,Very Good,94.0,Machlessvile,17500
"['bar', 'restaurant', 'swimmingpools', 'gym']",8.7,Excellent,5.0,Hallerson,33000
"['internet', 'bar', 'restaurant', 'pool', 'gym']",7.3,Very Good,23.0,Wanderland,28000
"['bar', 'restaurant']",,,,Machlessvile,3600
"['internet', 'bar', 'restaurant']",7.7,Very Good,125.0,Uberlandia,9800
[],,,,Uberlandia,4200
['restaurant'],,,,Uberlandia,2300
['bar'],6.0,Very Good,1.0,Andeman,4000
"['intrnet', 'bar']",6.7,Very Good,27.0,Wanderland,12000
"['internet', 'bar']",7.4,Very Good,40.0,Uberlandia,13000
"['intrnet', 'bar', 'restaurant', 'pool']",,,,Stokol,15000
['restaurant'],7.1,Very Good,68.0,Hallerson,20000
"['internet', 'bar', 'restaurant', 'pool', 'gym']",7.3,Very Good,8.0,Andeman,38500
"['internet', 'bar', 'swimmingpools', 'gym']",8.2,Excellent,13.0,Hallerson,32000
"['internet', 'bar', 'restaurant', 'pool', 'gym']",6.9,Very Good,23.0,Machlessvile,17000
"['bar', 'restaurant', 'swimmingpools', 'gym']",7.0,Very Good,17.0,Andeman,16200
"['bar', 'restaurant', 'pool', 'gym']",8.5,Excellent,6.0,Wanderland,12000
"['intrnet', 'bar', 'restaurant']",6.3,Very Good,30.0,Wanderland,22000
"['internet', 'bar', 'restaurant', 'gym']",,,,Machlessvile,10000
"['internet', 'bar', 'restaurant', 'swimmingpools']",8.0,Excellent,25.0,Stokol,25000
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",7.8,Very Good,25.0,Andeman,15000
[],,,,Wanderland,3700
"['bar', 'restaurant', 'pool', 'gym']",8.7,Excellent,5.0,Andeman,33000
['restaurant'],,,,Machlessvile,5405
"['internet', 'bar', 'restaurant', 'pool', 'gym']",7.6,Very Good,6.0,Wanderland,30000
['bar'],8.7,Excellent,22.0,Andeman,27000
"['bar', 'restaurant']",9.2,Excellent,2.0,Stokol,13350
"['internet', 'bar', 'restaurant', 'pool', 'gym']",7.5,Very Good,42.0,Hallerson,18480
"['internet', 'bar']",6.9,Very Good,10.0,Uberlandia,18000
"['bar', 'restaurant']",4.2,Good,4.0,Andeman,4500
['restaurant'],,,,Andeman,8500
"['internet', 'bar', 'restaurant', 'gym']",7.5,Very Good,9.0,Machlessvile,25250
"['bar', 'restaurant']",8.1,Excellent,6.0,Uberlandia,82400
"['bar', 'restaurant']",8.4,Excellent,1.0,Wanderland,2500
"['bar', 'restaurant']",8.2,Excellent,2.0,Wanderland,4000
"['internet', 'bar', 'restaurant', 'pool', 'gym']",7.2,Very Good,6.0,Willsmian,25000
"['bar', 'restaurant']",7.8,Very Good,4.0,Hallerson,10000
"['bar', 'restaurant']",8.0,Excellent,2.0,Hallerson,5000
"['bar', 'restaurant']",7.4,Very Good,5.0,Andeman,15000
['bar'],,,,Willsmian,6000
['pool'],,,,Stokol,20000
"['bar', 'restaurant']",5.8,Good,43.0,Uberlandia,6000
"['bar', 'restaurant']",6.2,Very Good,10.0,Andeman,4000
"['internet', 'bar', 'restaurant', 'gym']",10.0,Excellent,1.0,Willsmian,13000
"['bar', 'restaurant']",2.0,Fair,1.0,Willsmian,4500
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",7.0,Very Good,32.0,Stokol,27500
"['bar', 'pool']",6.4,Very Good,49.0,Wanderland,20000
[],7.0,Very Good,1.0,Stokol,3700
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",5.1,Good,13.0,Hallerson,88800
['restaurant'],,,,Hallerson,8500
"['bar', 'restaurant']",6.0,Very Good,1.0,Wanderland,7900
[],7.6,Very Good,1.0,Stokol,11000
"['internet', 'bar', 'restaurant', 'gym']",10.0,Excellent,1.0,Uberlandia,13000
"['internet', 'bar', 'restaurant', 'pool', 'gym']",7.5,Very Good,42.0,Uberlandia,18480
['restaurant'],8.6,Excellent,7.0,Andeman,15500
"['internet', 'bar', 'restaurant', 'pool', 'gym']",,,,Andeman,6500
"['internet', 'bar']",6.7,Very Good,10.0,Willsmian,35000
"['bar', 'restaurant', 'swimmingpools']",8.0,Excellent,1.0,Stokol,26500
"['internet', 'bar', 'restaurant']",7.4,Very Good,26.0,Wanderland,10000
"['internet', 'bar', 'restaurant']",6.8,Very Good,1.0,Willsmian,17000
"['internet', 'bar', 'restaurant', 'gym']",8.3,Excellent,18.0,Willsmian,20000
"['internet', 'restaurant']",7.8,Very Good,15.0,Andeman,17483
"['internet', 'bar', 'restaurant', 'pool', 'gym']",6.8,Very Good,14.0,Stokol,9750
"['bar', 'restaurant']",8.0,Excellent,6.0,Stokol,20000
"['bar', 'restaurant']",9.2,Excellent,2.0,Uberlandia,13350
"['internet', 'restaurant', 'pool']",6.4,Very Good,2.0,Ubisville,6000
"['bar', 'pool']",7.8,Very Good,26.0,Hallerson,19000
"['internet', 'bar', 'restaurant']",8.2,Excellent,20.0,Machlessvile,20000
"['bar', 'restaurant']",6.7,Very Good,29.0,Hallerson,10000
['restaurant'],6.4,Very Good,1.0,Willsmian,9900
[],,,,Andeman,1800
"['bar', 'restaurant', 'swimmingpools']",,,,Hallerson,12000
"['bar', 'restaurant']",7.4,Very Good,50.0,Machlessvile,20000
[],9.6,Excellent,4.0,Wanderland,6000
"['bar', 'restaurant', 'swimmingpools']",,,,Wanderland,3500
"['bar', 'restaurant']",8.0,Excellent,1.0,Stokol,7000
"['bar', 'restaurant']",7.1,Very Good,10.0,Machlessvile,11000
"['internet', 'bar', 'restaurant', 'pool']",7.8,Very Good,5.0,Wanderland,25000
[],,,,Wanderland,2800
"['intrnet', 'bar', 'restaurant', 'pool', 'gym']",,,,Uberlandia,100000
"['bar', 'restaurant']",7.4,Very Good,50.0,Stokol,20000
[],,,,Hallerson,7500
"['intrnet', 'bar', 'restaurant']",,,,Andeman,10000
"['bar', 'restaurant', 'gym']",7.0,Very Good,18.0,Willsmian,60500
"['bar', 'restaurant']",5.8,Good,8.0,Stokol,18000
"['bar', 'restaurant']",8.5,Excellent,4.0,Machlessvile,10000
['restaurant'],6.0,Very Good,79.0,Stokol,5500
"['bar', 'restaurant']",7.5,Very Good,8.0,Hallerson,16000
['intrnet'],8.1,Excellent,57.0,Hallerson,21500
['restaurant'],4.9,Good,4.0,Andeman,6000
"['bar', 'restaurant', 'pool', 'gym']",,,,Stokol,30000
[],,,,Uberlandia,4000
['restaurant'],,,,Andeman,3500
"['bar', 'restaurant']",,,,Uberlandia,2500
"['bar', 'restaurant']",7.3,Very Good,7.0,Stokol,13500
"['bar', 'restaurant']",8.0,Excellent,4.0,Stokol,9000
"['internet', 'bar', 'restaurant']",8.0,Excellent,1.0,Andeman,25000
"['internet', 'bar', 'restaurant', 'swimmingpools']",7.5,Very Good,35.0,Machlessvile,67000
"['bar', 'restaurant', 'pool']",8.0,Excellent,9.0,Andeman,25000
"['bar', 'restaurant', 'swimmingpools', 'gym']",8.7,Excellent,5.0,Wanderland,33000
"['internet', 'restaurant']",5.7,Good,6.0,Andeman,16500
"['bar', 'restaurant']",7.7,Very Good,40.0,Machlessvile,20000
"['bar', 'restaurant', 'swimmingpools', 'gym']",7.9,Very Good,5.0,Andeman,24000
['restaurant'],7.4,Very Good,12.0,Andeman,10000
"['intrnet', 'bar', 'restaurant', 'swimmingpools', 'gym']",6.7,Very Good,32.0,Ubisville,55537
"['bar', 'restaurant']",7.6,Very Good,3.0,Andeman,5000
[],,,,Andeman,23050
"['bar', 'restaurant', 'pool', 'gym']",8.6,Excellent,6.0,Willsmian,23000
"['internet', 'bar']",6.6,Very Good,14.0,Stokol,11000
"['internet', 'bar', 'restaurant', 'gym']",6.5,Very Good,32.0,Machlessvile,15000
"['restaurant', 'pool']",,,,Machlessvile,80500
"['bar', 'restaurant', 'pool', 'gym']",8.8,Excellent,2.0,Stokol,20000
"['bar', 'restaurant', 'pool', 'gym']",5.7,Good,37.0,Machlessvile,30000
[],,,,Stokol,4025
"['intrnet', 'bar', 'restaurant']",7.7,Very Good,125.0,Andeman,9800
['bar'],4.2,Good,5.0,Andeman,8000
"['intrnet', 'bar', 'restaurant', 'pool', 'gym']",6.9,Very Good,23.0,Stokol,17000
['bar'],,,,Uberlandia,3500
[],,,,Hallerson,4000
"['bar', 'restaurant']",6.3,Very Good,34.0,Stokol,11500
"['internet', 'restaurant', 'pool']",8.2,Excellent,97.0,Andeman,16000
"['intrnet', 'bar', 'restaurant']",7.2,Very Good,39.0,Uberlandia,9200
[],,,,Uberlandia,2200
['restaurant'],6.0,Very Good,79.0,Hallerson,5500
"['bar', 'restaurant']",8.1,Excellent,6.0,Hallerson,82400
"['bar', 'pool']",10.0,Excellent,1.0,Andeman,25000
"['intrnet', 'bar', 'restaurant']",10.0,Excellent,1.0,Uberlandia,20000
"['intrnet', 'bar', 'restaurant', 'swimmingpools', 'gym']",7.3,Very Good,23.0,Stokol,28000
"['internet', 'bar', 'restaurant']",8.3,Excellent,21.0,Willsmian,12000
['restaurant'],,,,Hallerson,2300
"['internet', 'bar', 'restaurant', 'pool']",7.8,Very Good,28.0,Hallerson,49500
"['intrnet', 'bar', 'restaurant']",7.2,Very Good,2.0,Machlessvile,56000
"['bar', 'restaurant', 'swimmingpools']",8.0,Excellent,9.0,Stokol,25000
"['internet', 'bar', 'restaurant']",8.0,Excellent,1.0,Hallerson,25000
"['internet', 'bar', 'restaurant', 'gym']",5.1,Good,4.0,Machlessvile,9500
"['internet', 'bar', 'restaurant']",6.8,Very Good,1.0,Uberlandia,17000
"['internet', 'bar', 'restaurant']",,,,Ubisville,54450
"['bar', 'restaurant']",5.8,Good,43.0,Stokol,6000
"['bar', 'restaurant', 'pool', 'gym']",9.3,Excellent,3.0,Andeman,88600
"['intrnet', 'bar', 'restaurant']",,,,Andeman,7000
"['bar', 'restaurant', 'pool', 'gym']",8.6,Excellent,6.0,Andeman,23000
[],,,,Machlessvile,30000
[],,,,Willsmian,3200
"['internet', 'bar', 'restaurant', 'pool']",7.2,Very Good,23.0,Hallerson,24500
"['intrnet', 'bar', 'pool', 'gym']",6.9,Very Good,12.0,Wanderland,20000
"['internet', 'bar', 'restaurant']",2.8,Fair,5.0,Wanderland,16800
['internet'],5.4,Good,13.0,Wanderland,4000
"['internet', 'bar']",7.2,Very Good,25.0,Hallerson,15000
['bar'],,,,Ubisville,4500
"['intrnet', 'bar', 'restaurant']",7.2,Very Good,39.0,Hallerson,9200
[],,,,Stokol,30000
"['bar', 'restaurant', 'pool', 'gym']",7.8,Very Good,351.0,Andeman,30000
['restaurant'],,,,Wanderland,5405
"['internet', 'bar', 'restaurant', 'pool', 'gym']",,,,Uberlandia,7000
"['internet', 'bar', 'swimmingpools']",7.0,Very Good,6.0,Machlessvile,45000
"['intrnet', 'bar', 'restaurant']",7.1,Very Good,4.0,Andeman,7500
"['internet', 'bar', 'restaurant']",5.6,Good,50.0,Hallerson,5000
"['internet', 'bar', 'restaurant']",7.1,Very Good,4.0,Wanderland,7500
"['bar', 'restaurant']",7.2,Very Good,4.0,Stokol,13000
"['bar', 'restaurant', 'gym']",7.1,Very Good,8.0,Ubisville,6600
"['internet', 'bar', 'restaurant']",7.0,Very Good,20.0,Stokol,143802
"['bar', 'restaurant', 'swimmingpools', 'gym']",9.3,Excellent,3.0,Hallerson,88600
"['internet', 'bar', 'restaurant']",7.4,Very Good,26.0,Stokol,10000
"['intrnet', 'bar', 'restaurant']",7.2,Very Good,2.0,Wanderland,56000
[],,,,Uberlandia,4500
"['intrnet', 'bar', 'restaurant']",7.0,Very Good,23.0,Stokol,20000
"['intrnet', 'bar', 'restaurant']",,,,Wanderland,5500
"['intrnet', 'bar', 'restaurant', 'pool']",7.5,Very Good,35.0,Hallerson,67000
['bar'],,,,Stokol,6000
"['internet', 'bar']",6.6,Very Good,14.0,Hallerson,11000
"['intrnet', 'swimmingpools', 'gym']",7.6,Very Good,2.0,Andeman,27000
"['internet', 'restaurant', 'pool']",9.1,Excellent,12.0,Wanderland,37200
[],5.6,Good,3.0,Wanderland,14000
[],,,,Uberlandia,2000
['internet'],5.4,Good,13.0,Willsmian,4000
"['intrnet', 'restaurant']",,,,Willsmian,50000
"['internet', 'bar', 'swimmingpools', 'gym']",6.9,Very Good,12.0,Hallerson,20000
"['intrnet', 'restaurant', 'swimmingpools']",6.4,Very Good,2.0,Stokol,6000
"['bar', 'restaurant', 'pool', 'gym']",7.8,Very Good,351.0,Wanderland,30000
"['intrnet', 'bar', 'restaurant', 'swimmingpools', 'gym']",7.2,Very Good,16.0,Willsmian,17000
"['bar', 'restaurant']",7.3,Very Good,32.0,Uberlandia,13500
"['internet', 'bar', 'restaurant']",4.4,Good,1.0,Stokol,11500
"['internet', 'bar', 'restaurant']",8.3,Excellent,18.0,Wanderland,30000
"['intrnet', 'bar', 'pool', 'gym']",9.6,Excellent,3.0,Hallerson,55000
"['intrnet', 'bar', 'restaurant']",7.4,Very Good,18.0,Stokol,15000
"['internet', 'bar']",7.4,Very Good,40.0,Wanderland,13000
['internet'],7.7,Very Good,10.0,Willsmian,5000
"['internet', 'bar', 'restaurant', 'swimmingpools']",7.9,Very Good,24.0,Andeman,50000
[],,,,Wanderland,4500
"['bar', 'restaurant']",6.1,Very Good,4.0,Uberlandia,6000
"['intrnet', 'bar', 'swimmingpools', 'gym']",5.5,Good,8.0,Stokol,7000
"['bar', 'pool']",8.2,Excellent,152.0,Uberlandia,30000
"['bar', 'restaurant']",6.2,Very Good,13.0,Stokol,3500
"['internet', 'bar']",7.7,Very Good,34.0,Stokol,12750
"['restaurant', 'swimmingpools']",8.0,Excellent,34.0,Willsmian,23000
[],,,,Willsmian,53475
['bar'],,,,Uberlandia,2500
"['bar', 'restaurant']",8.5,Excellent,3.0,Uberlandia,8000
"['internet', 'restaurant', 'pool']",7.3,Very Good,25.0,Stokol,20000
"['bar', 'restaurant', 'gym']",7.9,Very Good,3.0,Machlessvile,48000
"['bar', 'restaurant']",5.0,Good,4.0,Machlessvile,3500
"['internet', 'bar', 'restaurant']",,,,Uberlandia,54450
"['internet', 'restaurant']",4.9,Good,30.0,Andeman,19720
"['bar', 'restaurant']",9.4,Excellent,3.0,Machlessvile,20000
"['bar', 'pool', 'gym']",6.9,Very Good,13.0,Stokol,21000
"['bar', 'restaurant']",5.0,Good,4.0,Hallerson,3500
"['intrnet', 'bar', 'restaurant', 'swimmingpools']",7.4,Very Good,145.0,Stokol,17000
"['bar', 'restaurant']",6.3,Very Good,34.0,Andeman,11500
['bar'],,,,Stokol,3500
"['intrnet', 'bar', 'restaurant']",,,,Stokol,5000
['bar'],,,,Wanderland,3000
"['intrnet', 'restaurant']",7.1,Very Good,13.0,Wanderland,20000
"['internet', 'bar', 'restaurant']",7.1,Very Good,9.0,Stokol,9000
"['bar', 'restaurant']",6.7,Very Good,29.0,Hallerson,10000
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",6.7,Very Good,32.0,Stokol,55537
"['restaurant', 'swimmingpools']",6.0,Very Good,3.0,Wanderland,33000
"['bar', 'restaurant']",,,,Andeman,5000
"['internet', 'bar', 'restaurant', 'swimmingpools']",7.2,Very Good,23.0,Andeman,24500
"['bar', 'restaurant', 'pool', 'gym']",3.7,Fair,2.0,Andeman,45000
"['bar', 'restaurant', 'pool', 'gym']",,,,Uberlandia,7125
"['internet', 'bar', 'restaurant']",7.0,Very Good,23.0,Hallerson,20000
"['internet', 'bar', 'swimmingpools']",7.3,Very Good,61.0,Hallerson,12000
"['intrnet', 'bar', 'restaurant', 'swimmingpools', 'gym']",8.4,Excellent,226.0,Andeman,43000
"['intrnet', 'bar', 'restaurant']",7.4,Very Good,26.0,Wanderland,10000
['internet'],8.4,Excellent,3.0,Wanderland,10000
"['bar', 'restaurant']",8.3,Excellent,5.0,Stokol,8000
['swimmingpools'],8.8,Excellent,1.0,Stokol,35000
"['bar', 'restaurant', 'pool', 'gym']",8.5,Excellent,6.0,Ubisville,12000
"['internet', 'bar', 'restaurant']",8.1,Excellent,31.0,Uberlandia,14000
"['bar', 'restaurant']",7.2,Very Good,2.0,Stokol,3000
"['bar', 'restaurant']",5.8,Good,43.0,Willsmian,6000
"['bar', 'restaurant', 'swimmingpools']",6.7,Very Good,10.0,Willsmian,14000
"['swimmingpools', 'gym']",,,,Machlessvile,16100
"['bar', 'restaurant', 'swimmingpools']",6.8,Very Good,1.0,Willsmian,11150
[],,,,Hallerson,4500
"['intrnet', 'bar', 'restaurant', 'swimmingpools', 'gym']",,,,Willsmian,6500
"['internet', 'bar', 'restaurant']",8.1,Excellent,32.0,Stokol,92000
"['bar', 'restaurant']",6.1,Very Good,4.0,Hallerson,6000
"['internet', 'bar', 'restaurant']",8.5,Excellent,3.0,Andeman,28500
"['intrnet', 'bar']",7.4,Very Good,40.0,Andeman,13000
"['bar', 'restaurant']",9.6,Excellent,1.0,Wanderland,8000
[],6.4,Very Good,1.0,Hallerson,10000
"['restaurant', 'pool', 'gym']",6.2,Very Good,30.0,Machlessvile,17999
"['intrnet', 'bar', 'restaurant']",8.2,Excellent,20.0,Wanderland,20000
"['bar', 'restaurant']",8.1,Excellent,18.0,Ubisville,15500
"['bar', 'restaurant']",8.0,Excellent,7.0,Uberlandia,10000
"['restaurant', 'pool']",6.2,Very Good,21.0,Machlessvile,19000
"['internet', 'restaurant', 'pool']",8.2,Excellent,97.0,Wanderland,16000
[],9.2,Excellent,1.0,Stokol,7800
"['internet', 'bar', 'restaurant']",,,,Ubisville,6000
"['bar', 'restaurant', 'gym']",5.7,Good,6.0,Andeman,7350
"['bar', 'restaurant']",6.9,Very Good,17.0,Willsmian,13500
"['bar', 'restaurant', 'pool', 'gym']",7.0,Very Good,17.0,Ubisville,16200
"['internet', 'bar', 'restaurant', 'pool', 'gym']",7.5,Very Good,42.0,Andeman,18480
"['intrnet', 'bar', 'restaurant']",,,,Andeman,9000
"['internet', 'bar', 'restaurant']",8.3,Excellent,18.0,Uberlandia,30000
"['restaurant', 'swimmingpools']",8.0,Excellent,34.0,Uberlandia,23000
"['bar', 'swimmingpools']",10.0,Excellent,1.0,Wanderland,25000
"['bar', 'restaurant']",7.8,Very Good,2.0,Ubisville,11000
"['bar', 'restaurant']",7.6,Very Good,9.0,Wanderland,9000
[],,,,Stokol,8000
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",7.3,Very Good,8.0,Stokol,38500
"['internet', 'bar', 'restaurant']",,,,Ubisville,15000
"['bar', 'restaurant']",,,,Stokol,4500
['bar'],,,,Stokol,3000
"['bar', 'restaurant']",7.8,Very Good,4.0,Andeman,10000
"['bar', 'restaurant', 'pool', 'gym']",,,,Andeman,30000
['bar'],7.9,Very Good,12.0,Wanderland,25000
"['bar', 'restaurant']",7.1,Very Good,10.0,Stokol,11000
"['bar', 'restaurant', 'swimmingpools']",7.4,Very Good,12.0,Andeman,20090
"['bar', 'restaurant', 'pool', 'gym']",7.2,Very Good,38.0,Wanderland,19000
"['bar', 'restaurant', 'swimmingpools', 'gym']",7.9,Very Good,5.0,Uberlandia,24000
"['internet', 'bar', 'restaurant', 'swimmingpools']",7.8,Very Good,24.0,Stokol,52875
"['internet', 'bar', 'restaurant', 'swimmingpools']",7.5,Very Good,40.0,Andeman,16500
"['bar', 'restaurant']",,,,Uberlandia,6000
"['restaurant', 'pool']",,,,Uberlandia,10000
"['intrnet', 'restaurant', 'swimmingpools']",7.5,Very Good,154.0,Machlessvile,20000
"['internet', 'bar', 'restaurant', 'swimmingpools']",9.8,Excellent,4.0,Stokol,64800
['restaurant'],7.2,Very Good,12.0,Stokol,9000
"['bar', 'swimmingpools']",10.0,Excellent,1.0,Stokol,25000
"['intrnet', 'bar']",6.6,Very Good,14.0,Andeman,11000
['pool'],,,,Uberlandia,20000
"['internet', 'bar', 'restaurant', 'pool']",10.0,Excellent,2.0,Andeman,25000
"['bar', 'restaurant']",8.2,Excellent,5.0,Stokol,3000
"['bar', 'restaurant']",7.5,Very Good,8.0,Wanderland,16000
"['internet', 'bar', 'restaurant', 'swimmingpools']",10.0,Excellent,1.0,Hallerson,15000
"['intrnet', 'bar', 'restaurant', 'swimmingpools']",8.7,Excellent,17.0,Andeman,60000
['restaurant'],4.4,Good,1.0,Andeman,10000
"['bar', 'restaurant', 'pool', 'gym']",7.0,Very Good,17.0,Machlessvile,16200
"['intrnet', 'pool', 'gym']",,,,Hallerson,64600
"['restaurant', 'gym']",,,,Hallerson,36000
[],9.0,Excellent,1.0,Willsmian,2700
"['bar', 'restaurant', 'pool', 'gym']",3.7,Fair,2.0,Machlessvile,45000
"['intrnet', 'restaurant']",,,,Uberlandia,14904
[],6.3,Very Good,46.0,Wanderland,35000
"['intrnet', 'bar', 'restaurant']",,,,Machlessvile,10000
"['bar', 'restaurant']",10.0,Excellent,1.0,Stokol,13225
['bar'],,,,Willsmian,2500
"['restaurant', 'pool']",,,,Willsmian,80500
[],,,,Willsmian,1800
"['intrnet', 'bar', 'restaurant', 'pool']",7.5,Very Good,35.0,Stokol,67000
['restaurant'],4.9,Good,4.0,Stokol,6000
"['internet', 'bar', 'restaurant', 'pool', 'gym']",7.8,Very Good,25.0,Stokol,15000
"['bar', 'restaurant']",8.0,Excellent,3.0,Stokol,9000
"['internet', 'bar', 'restaurant']",7.0,Very Good,14.0,Wanderland,5000
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",7.5,Very Good,42.0,Willsmian,18480
"['pool', 'gym']",,,,Wanderland,16100
['intrnet'],5.4,Good,13.0,Uberlandia,4000
"['bar', 'swimmingpools']",10.0,Excellent,1.0,Stokol,25000
"['bar', 'restaurant']",7.2,Very Good,9.0,Wanderland,15650
"['intrnet', 'bar', 'restaurant', 'pool']",8.7,Excellent,15.0,Uberlandia,35000
"['bar', 'restaurant']",8.8,Excellent,6.0,Ubisville,12500
"['bar', 'restaurant']",4.9,Good,3.0,Hallerson,9000
"['bar', 'restaurant']",7.2,Very Good,4.0,Willsmian,13000
"['bar', 'restaurant']",7.4,Very Good,4.0,Willsmian,15000
"['bar', 'restaurant']",8.0,Excellent,1.0,Willsmian,7000
"['internet', 'bar']",6.6,Very Good,14.0,Willsmian,11000
"['internet', 'restaurant', 'swimmingpools']",8.2,Excellent,97.0,Hallerson,16000
[],8.3,Excellent,4.0,Andeman,35000
"['bar', 'restaurant']",6.3,Very Good,34.0,Hallerson,11500
"['intrnet', 'bar', 'restaurant', 'pool']",7.8,Very Good,28.0,Andeman,49500
"['restaurant', 'swimmingpools', 'gym']",9.3,Excellent,4.0,Andeman,35000
"['internet', 'bar', 'restaurant']",9.4,Excellent,2.0,Willsmian,12000
[],9.2,Excellent,1.0,Uberlandia,7800
"['bar', 'restaurant']",6.0,Very Good,8.0,Wanderland,8500
['restaurant'],6.1,Very Good,24.0,Willsmian,5000
"['intrnet', 'bar', 'restaurant']",7.0,Very Good,23.0,Willsmian,20000
"['internet', 'bar', 'restaurant']",6.2,Very Good,7.0,Machlessvile,7500
"['restaurant', 'pool']",6.2,Very Good,21.0,Willsmian,19000
"['internet', 'bar', 'restaurant', 'pool']",8.0,Excellent,7.0,Willsmian,6000
"['bar', 'restaurant']",,,,Ubisville,4000
[],10.0,Excellent,1.0,Stokol,20000
"['bar', 'restaurant']",7.4,Very Good,50.0,Uberlandia,20000
"['internet', 'restaurant']",7.1,Very Good,13.0,Hallerson,20000
"['bar', 'restaurant', 'swimmingpools']",,,,Andeman,3500
"['internet', 'bar', 'restaurant', 'pool', 'gym']",5.0,Good,10.0,Uberlandia,35000
"['intrnet', 'bar', 'restaurant', 'swimmingpools', 'gym']",5.2,Good,3.0,Stokol,26875
"['intrnet', 'bar', 'restaurant']",7.1,Very Good,3.0,Uberlandia,4000
"['intrnet', 'restaurant']",8.3,Excellent,6.0,Uberlandia,25000
"['intrnet', 'restaurant']",7.1,Very Good,2.0,Machlessvile,9500
['restaurant'],6.0,Very Good,79.0,Andeman,5500
"['bar', 'restaurant', 'swimmingpools', 'gym']",8.8,Excellent,2.0,Ubisville,20000
['bar'],7.8,Very Good,2.0,Stokol,8000
"['bar', 'restaurant']",8.4,Excellent,1.0,Uberlandia,2500
"['bar', 'restaurant']",8.0,Excellent,1.0,Wanderland,7000
"['bar', 'restaurant', 'swimmingpools', 'gym']",8.8,Excellent,2.0,Hallerson,20000
"['internet', 'bar', 'restaurant', 'pool', 'gym']",8.5,Excellent,4.0,Willsmian,49900
['swimmingpools'],8.2,Excellent,6.0,Andeman,30000
['restaurant'],,,,Stokol,10000
"['intrnet', 'bar', 'restaurant', 'pool', 'gym']",7.0,Very Good,2.0,Wanderland,20000
"['intrnet', 'bar', 'pool']",7.0,Very Good,6.0,Wanderland,45000
"['intrnet', 'bar', 'restaurant', 'gym']",9.4,Excellent,5.0,Uberlandia,12000
"['bar', 'restaurant']",8.8,Excellent,1.0,Wanderland,5000
"['internet', 'bar', 'restaurant']",8.1,Excellent,31.0,Stokol,14000
